Packet Injections, Packet Ejections, Offered Load, Switch Throughput, Packet Collisions, Simulation Time, Injection Chance
4000000, 3104067, 4, 3.10407, 895917, 1000000, 1
3959885, 3100779, 3.95988, 3.10078, 899205, 1000000, 0.99
3919676, 3101708, 3.91968, 3.10171, 898277, 1000000, 0.98
3879302, 3101055, 3.8793, 3.10106, 898928, 1000000, 0.97
3839378, 3102388, 3.83938, 3.10239, 897598, 1000000, 0.96
3799507, 3100463, 3.79951, 3.10046, 899521, 1000000, 0.95
3759264, 3100171, 3.75926, 3.10017, 899814, 1000000, 0.94
3719540, 3100069, 3.71954, 3.10007, 899913, 1000000, 0.93
3679660, 3100542, 3.67966, 3.10054, 899440, 1000000, 0.92
3639161, 3097508, 3.63916, 3.09751, 902474, 1000000, 0.91
3599069, 3101269, 3.59907, 3.10127, 898716, 1000000, 0.9
3558702, 3098681, 3.5587, 3.09868, 901295, 1000000, 0.89
3519449, 3101313, 3.51945, 3.10131, 898654, 1000000, 0.88
3478643, 3100841, 3.47864, 3.10084, 899134, 1000000, 0.87
3438696, 3102756, 3.4387, 3.10276, 897208, 1000000, 0.86
3399326, 3103467, 3.39933, 3.10347, 896370, 1000000, 0.85
3359606, 3103049, 3.35961, 3.10305, 896307, 1000000, 0.84
3318621, 3099707, 3.31862, 3.09971, 897242, 1000000, 0.83
3278135, 3097311, 3.27813, 3.09731, 890491, 1000000, 0.82
3239344, 3089391, 3.23934, 3.08939, 877072, 1000000, 0.81
3198257, 3075699, 3.19826, 3.0757, 855240, 1000000, 0.8
3158558, 3059689, 3.15856, 3.05969, 829002, 1000000, 0.79
3119980, 3039759, 3.11998, 3.03976, 806712, 1000000, 0.78
3079696, 3018412, 3.0797, 3.01841, 783880, 1000000, 0.77
3039886, 2996385, 3.03989, 2.99639, 757801, 1000000, 0.76
2998914, 2972884, 2.99891, 2.97288, 728725, 1000000, 0.75
2961159, 2945176, 2.96116, 2.94518, 708247, 1000000, 0.74
2920081, 2912616, 2.92008, 2.91262, 676424, 1000000, 0.73
2879731, 2877040, 2.87973, 2.87704, 647720, 1000000, 0.72
